原始问题,原始答案,问题分类
港澳居民来往内地通行证、台湾居民来往大陆通行证、中国护照和外国护照的注册用户和乘车人为“未通过”状态，如何办理核验？,注册用户、乘车人的身份信息经过核验但未通过，需修改本网站所填写的身份信息内容与身份证件原件完全一致，保存后状态显示“待核验”时，参见“7.港澳居民来往内地通行证、台湾居民来往大陆通行证、中国护照和外国护照的注册用户和乘车人为“待核验”状态，怎么办？”步骤到车站售票窗口办理核验。,乘车/进站
凭公安部门出具的临时身份证明能否在车站窗口办理身份核验？,不可以。,证件/实名制
可以委托他人办理身份信息核验吗？核验时需携带哪些证件？,“待核验”、“未通过”的注册用户或乘车人可委托他人到车站售票窗口办理身份信息核验。办理时，需同时携带代办人和委托人（核验乘车人信息时还应携带注册人注册时）的有效身份证件原件。,证件/实名制
遇有姓名超长、生僻字、繁体字如何在网站上输入？,在本网站上输入用户姓名时，请按其有效身份证件原件上的姓名准确填写，遇有下列情况时，按以下规则填写:确认姓名中生僻字无法输入时，可用生僻字拼音或同音字替代。输入姓名保存后，遇有系统无法正确显示的汉字，可用该汉字的拼音或同音字重新修改后保存。姓名中有繁体字无法输入时，可用简体替代。姓名较长，汉字与英文字符合计超过30个（1个汉字算2个字符）的，需按姓名中第一个汉字或英文字符开始按顺序连续输入30个字符（空格字符不输入），其中英文字符输入时不区别大小写。姓名中有“.”或“·”时，请仔细辨析身份证件原件上的“.”或“·”，准确输入。中国护照用户请按姓名顺序填写中文姓名。外国护照用户请按姓名顺序填写证件上的英文姓名。,12306平台
注册用户为居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证的用户如何添加、删除乘车人？,“已通过”注册用户均可在本网站正常添加持居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证、港澳居民来往内地通行证、台湾居民来往大陆通行证、中国护照和外国护照的乘车人，添加乘车人时状态为“待核验”的不能超过5人。 “待核验”、“未通过”注册用户不能添加乘车人。“已通过”、“预通过”的乘车人在30天内不能删除。,证件/实名制
注册用户为中国护照和外国护照、港澳居民来往内地通行证、台湾居民来往大陆通行证的用户能否添加居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证的乘车人？,不能。,证件/实名制
乘车人有数量限制吗？,注册用户名下的“已通过”、“未通过”、“待核验”乘车人累计正常不超过30人（上限人数会根据春运、暑运具体情况进行调整）。,乘车/进站
乘车人数量超限，能否添加？,不能。,乘车/进站
注册用户为居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证的用户如何在网站上购票、退票、改签？,网上购票：“已通过”注册用户可为“已通过”乘车人购票。“未通过”和“待核验”注册用户和乘车人不可购票。网上退票：注册用户均可为已购车票正常办理网上退票。网上改签： 注册用户可为“已通过”的乘车人办理网上改签。,证件/实名制
乘车人为居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证的用户如何在车站办理换票、退票、改签？,“已通过”乘车人的所购车票，均可在车站售票窗口换票、改签、退票，在铁路运输企业授权的铁路代售点换票。“已通过”乘车人，姓名、证件号码与本网站填写完全一致的，所购车票可凭有效身份证件原件在自动售（取）票机换票。“已通过”乘车人，遇有姓名超长、生僻字、繁体字等情形的，所购车票应到车站售票窗口凭有效身份证件原件和订单号码办理换票、改签或退票。,证件/实名制
注册用户为港澳居民来往内地通行证、台湾居民来往大陆通行证、中国护照和外国护照的用户如何在网站上购票、退票、改签？,网上购票：“已通过”注册用户可为“已通过”乘车人购票。“未通过”和“待核验”注册用户和乘车人不可购票。网上退票：注册用户均可为已购车票正常办理网上退票。网上购票：网上改签：注册用户可为“已通过”的乘车人办理网上改签。,购票方式
乘车人为港澳居民来往内地通行证、台湾居民来往大陆通行证、中国护照和外国护照的用户如何在车站办理换票、退票、改签？,“已通过”乘车人的所购车票，可在车站售票窗口换票、改签、退票，在铁路运输企业授权的铁路代售点换票。“已通过”乘车人，姓名、证件号码与本网站填写完全一致的，所购车票可凭身份证件原件在具备自动识读港澳居民来往内地通行证、台湾居民来往大陆通行证、中国护照和外国护照条件的自动售（取）票机换票。“已通过”乘车人，遇有姓名超长、生僻字、繁体字等情形的，所购车票需到车站售票窗口凭身份证件原件和订单号码办理换票、改签或退票。,退票/改签
需购买儿童优惠票时，怎么办？,需在网站www.12306.cn购买儿童优惠票时，儿童有有效身份证件的，可添加为乘车人（儿童有效身份证件为居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证），仅持居民身份证注册用户可将该儿童添加为乘车人），身份信息核验状态为“已通过”的儿童方可购票。,购票方式
铁路互联网购票身份信息核验包括哪些证件？,铁路互联网购票身份信息核验包括在有效期内的居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证，按规定可以使用的有效中国护照和外国护照、港澳居民来往内地通行证和台湾居民来往大陆通行证。,证件/实名制
办理车站核验身份信息时，居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证无法通过自动识读设备自动读取时，怎么办？,持居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证用户在车站售票窗口办理身份信息核验时，居民身份证不能通过自动识读设备自动读取的，不予办理，需到发证机关换证后再予办理。,证件/实名制
在12306.cn网站购票是否需要注册？注册需要填写哪些信息？,12306.cn网站对注册用户提供购票服务。在12306.cn网站购票前，请先办理用户注册。注册时，请填写基本信息（用户名、密码为必填项）、详细信息（请填写真实姓名、证件类型和证件号码）、联系信息（请填写手机号码和优惠（待）类型）。,购票方式
在12306.cn网站注册时，可以使用哪些有效身份证件？,通过12306网站购票时，可以使用的有效身份证件包括：中华人民共和国居民身份证（含中华人民共和国临时居民身份证），中华人民共和国护照；中华人民共和国港澳居民居住证，中华人民共和国台湾居民居住证，港澳居民来往内地通行证，台湾居民来往大陆通行证；外国人永久居留身份证，外国人护照。,证件/实名制
姓名有生僻字、繁体字、字符或标点时，如何录入身份信息购票？,在本网站上输入用户姓名时，请按其有效身份证件原件上的姓名准确填写，遇有下列情况时，按以下规则填写:确认姓名中生僻字无法输入时，可用生僻字拼音或同音字替代；输入姓名保存后，遇有系统无法正确显示的汉字，可用该汉字的拼音或同音字重新修改后保存；姓名中有繁体字无法输入时，可用简体替代；姓名较长，汉字与英文字符合计超过30个（1个汉字算2个字符）的，需按姓名中第一个汉字或英文字符开始按顺序连续输入30个字符（空格字符不输入），其中英文字符输入时不区别大小写。姓名中有“.”或“•”时，请仔细辨析身份证件原件上的“.”或“•”，准确输入。中国护照用户请按姓名顺序填写中文姓名。外国护照用户请按姓名顺序填写证件上的英文姓名。,证件/实名制
我的名字是中文和英文组合而成，能办理互联网购票吗？,可以。,购票方式
身份证号码中包含“X”怎么输入？,请检查您的输入法格式，将输入法中的“全角”格式改为“半角”后，再将大写字母键点亮（点击CapsLock）后输入“X”即可。,证件/实名制
注册用户时，系统提示证件号码已被注册怎么办？,注册时提示“证件号码已被注册”，如为本人注册，可尝试通过找回密码功能找回；如非本人注册，可按 App 提示在线办理，也可以持在网站注册时填写的有效身份证件原件到车站窗口注销该账号，注销后即可继续注册。,证件/实名制
填写注册信息后是否可以马上订票？,12306.cn网站通过国家身份认证权威部门对注册用户、乘车人的所填写的身份信息进行核验，结果为“已通过”的，才可以按规定订票。,其他
为什么我无法登录？,请您检查您的网络链接是否正常，如果正常，请您核对您输入的登录信息是否正确，您可能输入了错误的用户名或者密码。有时由于系统维护，可能会暂时不能登录，您可以稍后再试或者直接到车站窗口或代售点购票。,其他
12306.cn网站可购买哪些车票？,在12306.cn网站，可以购买铁路客票系统发售的全价票、儿童优惠票、学生优惠票、残疾军人票（持中华人民共和国残疾军人证、中华人民共和国伤残人民警察证、国家综合性消防救援队伍残疾人员证的人员）四种各车次、各席别的车票。,购票方式
在12306.cn网站是否可以购买返程车票？,可以。,购票方式
学生票如何资质核验和进站？,符合购买学生优惠票条件的旅客，应到车站指定售票窗口或自动售票机办理一次本人居民身份证件与学生优惠卡的核验手续（学生优惠票需每学年乘车前办理一次），通过核验手续的旅客购票后可凭居民身份证件自助办理实名制验证和进出站检票，核验手续应当在乘车前办理。铁路工作人员有权在车站和列车核对其减价优惠（待）凭证。,优惠票
我在国外可以使用12306.cn网站购票么？,只要登录12306.cn网站，就可以办理中国铁路互联网购票业务。,购票方式
在12306.cn网站购票一个身份证可以购多少张票？一笔订单是否有购票张数限制？,一张有效身份证件同一乘车日期同一车次只能购买一张车票，高铁动卧列车除外。一笔订单不能超过19张票，12306.cn网站可根据具体情况做适当限制。,证件/实名制
12306.cn网站购票是否可以任意订票？,一般情况下，12306.cn不作限制。如果注册用户购票后，当日取消订单达3次（包含无座票时取消5次计为取消1次）时，请等到次日12306.cn网站服务时间再次购票。,购票方式
我可以在12306.cn网站帮朋友买票吗？,12306.cn网站提示身份信息核验状态为“已通过”、“预通过”的注册用户均可以为自己或他人购票。登录后，请将您的朋友添加为乘车人，准确输入其姓名、有效身份证件类型和号码，12306.cn网站提示其身份信息核验状态为“已通过”、“预通过”、 持外国护照注册状态为“待核验”的，即可按12306.cn网站的相应提示操作购票。,购票方式
是不是所有车票都可在12306.cn网站查询？,在12306.cn网站，可以查询铁路客票系统发售的各车次、席别的直达票。在车票预售期内，个别车次列车运行方案可能正在调整，在未公布前，12306.cn网站不提供查询服务。请随时关注12306.cn网站公告。,12306平台
在12306.cn网站购票后，是否可以更改姓名？,12306.cn网站实行实名制售票，注册、购票时，请认真核对姓名、身份证号码等有关身份信息。根据实名制有关规定，购票后不能更改姓名。,购票方式
我在12306.cn网站购票后，发现姓名或证件号码等填写错误，怎么办？,12306.cn网站实行实名制售票，注册、购票时，请认真核对姓名、身份证号码等有关身份信息。如发现乘车人身份信息错误，请在12306.cn网站退票，并按规定收取退票费；发现日期、发站、到站、车次、席别错误的，可以按规定在12306.cn网站或铁路售票窗口办理改签、变更到站、退票。,证件/实名制
我在查询某一天车票预订信息时，没有车次可以预订，怎么回事？,可能有以下几种情形：该日车票还未开始发售，该日车票已售完，该日已过期。,其他
在12306.cn网站购票要支付票款吗？,在12306.cn网站成功申请席位后，请在网站提示的支付时间内，在线支付票款；逾期席位不保留，将释放给其他旅客使用。,购票方式
可以在12306.cn网站预订车票，到铁路售票窗口支付吗？,在12306.cn网站或手机客户端成功申请席位后，请在网站提示的支付时间内在线支付票款。目前不支持铁路售票窗口支付。,12306平台
在12306.cn网站订票成功后，在多长时间内支付可以保留席位？,购票人在12306.cn网站或手机客户端成功申请席位后，请在网站提示的支付时间内在线支付票款，逾期席位不保留，将释放给其他旅客使用。,12306平台
在12306.cn购票时，怎么付款？,目前，12306网站支持以下在线支付工具：开通工商银行、农业银行、中国银行、招商银行、建设银行、邮储银行和交通银行网银账户的用户，可以直接使用银行网银支付。开通其他银行网银账户的用户，可以使用银联网银支付。未开通网银账户的用户，可以使用银联快捷支付。用户可以使用支付宝、微信支付。同一订单请使用一个在线支付工具一次性支付。,购票方式
我怎样才能知道自己的银行卡能不能支付我的票款？,请联系你的发卡银行，确保您的银行卡已开通网上银行功能。请确认您已经安装发卡银行支付控件，部分银行卡还需U盾。请确认您的银行卡支付限额大于票款金额。,其他
在线支付安全吗？,合理正确的进行在线支付可以有效地规避风险：请仔细阅读银行的网上银行相关条款并遵照提示进行相关操作。避免在网吧等公共上网设施上使用网上银行。使用U-Key等工具进行在线支付。不要向第三方泄露卡号，密码等信息。请您认准铁路互联网售票官方网址（中国铁路客户服务中心网站：12306.cn）。,其他
在线支付需要提前做哪些准备？,请仔细发卡阅读银行的网上银行相关条款并遵照提示进行相关操作。请通过发卡银行开通网上银行功能。请确保网上支付额度授权可支持交易需要。,其他
如何开通网上银行？,请联系您的发卡银行咨询相关事宜。,其他
我的网上银行额度低于我要购买的车票价格，我能分两次付款吗？,同一订单请使用一个在线支付工具一次性支付，不能分次付款。如果您的在线支付工具余额不足，请及时存款。如果您的使用额度有限制，请联系你的发卡银行调整。,购票方式
在付款的最后阶段我该注意什么？,在付款的最后阶段，请不要点击“返回”键、“提交”键、“更新”键或关闭窗口，以免资金账户被双重扣减或资金账户付款后仍未能完成订票。,其他
我不小心关掉了在线支付工具支付页面怎么办？（或支付时断电、断网）？,请查询自己的在线支付工具账户是否扣款成功，如果扣款成功且未出票，请旅客致电客服电话12306。,其他
我在12306.cn网站购票时，扣款成功但购票不成功怎么办？,应退票款系统将尽快退回，您也可联系12306客服进行咨询。,购票方式
我在12306.cn网站购票时不小心重复支付了，重复扣的票款没有及时到账，怎么办？,应退票款系统将尽快退回，您也可联系12306客服进行咨询。,购票方式
我在12306.cn网站改签或变更到站时，扣款成功但改签或变更到站不成功，或者不小心重复支付了，款项未到账怎么办？,应退票款系统将尽快退回，您也可联系12306客服进行咨询。,退票/改签
我在12306.cn网站购票又退票后，为什么钱没有及时退还给我的银行卡？,应退票款系统将尽快退回，您也可联系12306客服进行咨询。,购票方式
订票后没有接收到通知怎么办？,请使用12306.cn网站订单查询功能及时确认订单状态，购票、改签、变更到站和退票的交易结果以订单查询结果为准。,其他
哪些渠道可以买到跨境高铁车票？,车票可通过12306网站、车站售票窗口、代售点、自动售（取）票机等方式购买。,其他
广深港跨境高铁车票预售期是多少天？,车票预售期为15天（含当天）。调整预售期时，铁路运输企业提前公告。,其他
能否用港币在内地购买跨境高铁车票？,不能。广深港高铁票价以人民币计价，旅客在内地用人民币购票，在香港地区使用港币购票。,购票方式
购买跨境高铁车票的旅客，能否不换票乘车？,旅客的乘车凭证是购票时使用的有效身份证件，可持对应的有效身份证件直接检票乘车。,购票方式
在香港西九龙站是否可以购买内地段高铁车票，有何要求和规定？,通过西九龙站港铁公司售票窗口，可以购买跨境高铁车票（即发站或到站必须是西九龙站）。通过中铁（香港）公司设在西九龙站5个售票窗口，既可以购买跨境高铁车票，也可以购买内地铁路车票。,购票方式
跨境高铁车票能否改签，有何规定？,在车票预售期内且有运输能力的前提下，旅客仅可办理一次改签手续，不办理发到站变更。办理改签应不晚于车票指定的日期、车次开车前，但发站为香港西九龙站的车票应不晚于开车前30分钟。办理改签时，改签后的车票票价高于原车票票价时，补收差额；低于原车票票价时，退还差额。,退票/改签
跨境高铁车票如何办理改签？,使用非现金支付方式购票且未换取报销凭证的，可自行登录12306网站或在车站指定售票窗口办理。使用现金支付方式购票或已换取报销凭证的，应在车站指定售票窗口办理。通过港铁公司代售点购票且未换取报销凭证的，还可在原代售点办理改签。改签后的车票不得退票。已换取报销凭证的，改签时须交回报销凭证。改签后，可换取新票的报销凭证。,退票/改签
跨境高铁车票退票，有何规定？,办理退票应不晚于车票指定的日期、车次开车前，但发站为香港西九龙站的车票应不晚于开车前30分钟。退票费核收标准：在车票开车时间前48小时内办理退票的，按车票票价的50%计算；在车票开车时间前48小时至第7天的，按车票票价的30%计算；在车票开车时间前8天及以上的，按车票票价的5%计算。退票费按元计算，不足一元的部分舍去免收。,退票/改签
跨境高铁车票如何办理退票？,使用非现金支付方式购票且未换取报销凭证的，可自行登录12306网站或在车站指定售票窗口办理，车票退票款按原支付方式退回。使用现金支付方式购票或已换取报销凭证的，应在车站指定售票窗口办理退票；也可先行登录12306网站办理退票手续，并自办理之日起180日内，持购票时所使用的乘车人身份证件原件，到车站指定窗口办理退款手续。通过港铁公司代售点购票且未换取报销凭证的，还可在原代售点办理退票。已换取报销凭证的，退票时须交回报销凭证。,退票/改签
跨境高铁车票能否办理变更到站？,不可以,退票/改签
乘坐跨境高铁列车能否变更席位？,可以。旅客在车内要求变更席别时，变更后的席别票价高于原票价时，核收票价差额；低于原票价时，票价差额不予退还。,退票/改签
乘坐跨境高铁列车是否可以越站，有何规定？,旅客没有在到达其有效车票上所记载的到站前提出越过原到站继续乘车的，按无票处理；到站前提出的按以下规定办理：列车不办理至香港西九龙站的越站；旅客自行越站乘车至香港西九龙站，由香港西九龙站按无票处理。香港西九龙站出发的旅客，其越站区间涉及广深港线路的，补收自车票发站至正当到站应收票价与已收票价的差额；越站区间未涉及广深港线路的，补收越站区间票价。,其他
儿童购买跨境车票有哪些规定？,(一）每一名持票成年人旅客可免费携带一名未满6周岁且不单独占用席位的儿童乘车，超过一名时，超过人数应购买儿童票。免费乘车的儿童单独使用席位时，应购买儿童票。（二）成年人旅客携带免费乘车儿童乘车，应当在购票时向铁路运输企业提前申明，购票申明时使用的免费乘车儿童有效身份证件为其乘车凭证。（三）免费乘车儿童及符合儿童票使用条件的儿童应随同成年人乘车。（四）儿童票的乘车日期、车次及席别应与同行成年人所持车票相同，其到站不得远于成年人车票的到站。（五）儿童票二等座、一等座按照相应列车席别全价执行票价的50％计算；特等座、商务座按照相应列车席别全价执行票价的80％计算；动卧票按照相应列车席别全价执行票价的70％计算；票价尾数按照四舍五入保留至元。全价执行票价不低于公布票价的40％时，儿童票票价最低为相应列车席别公布票价的40％；全价执行票价低于公布票价的40％时，儿童票票价按全价执行票价执行。,购票方式
跨境旅客购买学生车票有哪些规定？,（一）在内地大专院校就读的学生、研究生，凭附有加盖院校公章的减价优待证的学生证和火车票学生优惠卡（新生凭录取通知书、毕业生凭学校书面证明可购买一次学生票），可购买家庭居住地至学校所在地（实习地点）的跨境学生票。（二）每学年（10月1日至次年9月30日）仅限购买四次单程学生票，当学年未使用的次数不能留作下学年使用。（三）学生票应以相对近径路或合理径路发售。在学生证优惠乘车区间内购买联程车票时，扣减一次优惠乘车次数。（四）学生票只发售二等座、一等座和动卧票，按照相应列车席别全价执行票价的75％计算；票价尾数按照四舍五入保留至元。全价执行票价不低于公布票价的40％时，学生票票价最低为相应列车席别公布票价的40％；全价执行票价低于公布票价的40％时，学生票票价按全价执行票价执行。（五）超过减价优惠乘车区间的，不发售学生优惠票。（六）学生证的减价优惠区间更改时，应重新加盖院校公章，并修改火车票学生优惠卡内相关信息。,购票方式
跨境旅客购买残疾军人车票有哪些规定？,残疾军人票：持有中华人民共和国有关部门颁发的《中华人民共和国残疾军人证》、《中华人民共和国伤残人民警察证》、《国家综合性消防救援队伍残疾人员证》人员购买的减价（特惠）车票。残疾军人票按照相应列车席别全价执行票价的50％计算；票价尾数按照四舍五入保留至元。全价执行票价不低于公布票价的40％时，残疾军人票票价最低为相应列车席别公布票价的40％；全价执行票价低于公布票价的40％时，残疾军人票票价按全价执行票价执行。,购票方式
乘坐跨境高铁列车，携带品有何规定？,（一）旅客携带品由自己负责看管，并妥善放置携带品，不得影响公共空间使用和安全。（二）每位旅客携带品重量和体积：成年人20千克；儿童（含免费乘车儿童）10千克；外交人员35千克。每件物品外部尺寸长、宽、高之和不超过130厘米。不办理行李、包裹托运。使用行动辅助设备的老人、幼童、病人、残疾人士、孕妇等旅客旅行时代步的折叠式轮椅，以及随行婴儿使用的折叠婴儿车，可免费携带并不计入上述范围。,携带品
乘坐跨境高铁列车，携带导盲犬有何规定？,旅客可携带导盲犬进站乘车，犬只应系上牵引链，佩戴导盲鞍，接受安全检查。旅客应出示购票时所使用的有效身份证件、残疾人证、导盲犬工作证（载有导盲犬使用者信息，盖有内地公安部门或中国残疾人联合会公章，或带有国际导盲犬联盟标识“IGDF”，或双方铁路运输企业认可并公布的证件）、动物健康免疫证明。旅客携带导盲犬须符合内地与香港进出口检疫规定和相关铁路规定，并保证其他旅客的安全和车内的清洁卫生；导盲犬的照料、喂养和所需饲料，均由携带人自理；导盲犬对铁路或第三者造成损害时，由携带人负责赔偿。,携带品
乘坐跨境高铁列车，能否携带自行车、带有自动力的轮式代步工具及平衡车？,下列物品禁止、限制带入车内：未使用纸箱等硬质包装物妥善包装完整的自行车、带有自动力的轮式代步工具（电动轮椅除外）、平衡车。除轮椅外，旅客携带的轮式交通工具不得在车站、列车内使用。旅客在站台和车上使用轮椅时，应采取人力助力形式，不得使用自动力。,携带品
因铁路责任或自然灾害导致旅客持高等级席位跨境高铁车票乘坐低等级席位时如何处理？,铁路运输企业利用其他列车将旅客运送至到站时，旅客票款不予退还。但重新安排的列车等级、席别高于旅客原票列车等级、席别时，票价差额不再补收；低于旅客原票列车等级、席别时，退还变更区间票价差额。,其他
跨境高铁列车能否中途下车并恢复旅行？,车票当日当次有效，旅客应按照有效车票载明的日期、车次、车厢号、席位号乘坐；旅客提前或延后乘车应在规定时间内办理改签，未改签乘车按无票处理；中途下车未乘区间失效。,其他
持跨境高铁车票旅客因伤、病中途下车如何处理？,旅客开始旅行后不能退票。但旅客伤、病要求中途下车时，由列车长编制客运记录交旅客下车站，退还已收票价与已乘区间票价差额，并收取应退票款50%的退票费。同行人同样办理。,其他
误乘了跨境列车怎么办？,发生误乘、误降时，旅客应向站车工作人员提出。列车长应编制客运记录交前方停车站。车站应开具客运记录指定最近列车免费送至正当到站。免费送回区段，旅客只可乘坐二等座车厢，不得中途下车。如中途下车，对往返乘车的免费区间，按返程列车等级席别核收票价。旅客如在香港西九龙站到站后超过10分钟声称误乘、误降，均按无票处理。,其他
在香港西九龙站无法完成出入境手续怎么办？,旅客无法完成内地出境或香港入境手续时，由车站工作人员协助旅客乘坐就近列车返回内地车站，可在香港西九龙站购票或在返程列车办理补票。旅客自行在12306网站购票的，站车工作人员应予以核查、确认。旅客无法完成香港出境或内地入境手续时，未使用的车票按《广深港高速铁路跨境旅客运输组织规则》相关规定办理。,其他
在香港西九龙站如发现跨境持无效车票或无票乘车时，有哪些处理规定？,旅客有下列行为时，铁路运输企业按以下规定办理并有权登记其身份信息。（一）无票、持用无效车票乘车时，补收自乘车站（不能判明时自始发站）起至到站止车票票价，加收已乘区间应补票价50％的票款。（二）应买儿童票的旅客如未买票，补收儿童票价；年满14周岁的未成年人持儿童票乘车时，应补收儿童票与成年人票票价差额。成年人持儿童票乘车根据本条第（一）项按无票处理。（三）持用低等级车票乘坐高等级席别时，除按规定补收所乘区间的票价差额外，还须加收已乘区间应补票价50%的票款。（四）持减价（特惠）车票乘车但不符合减价（特惠）车票使用条件的，补收应收票价与减价（特惠）票价差额，加收已乘区间应补票价50％的票款。（五）在香港西九龙站发现上述（一）至（四）情形的，按《香港铁路附例》收取附加费，广深港线路各站至香港西九龙站的车票，附加费为1500港元；其他线路各站至香港西九龙站的车票，附加费为3000港元；不能判明时按其他线路各站至香港西九龙站计算。,乘车/进站
因铁路责任、自然灾害影响铁路运营导致运输中断，列车全程停运、中途停运、中途折返、绕道运输时如何处理？,因铁路责任、自然灾害等影响铁路运营导致运输中断，列车全程停运、中途停运、中途折返、绕道运输时，在30天内按以下规定处理。在发站。旅客要求退票时，退还全部票款。铁路运输企业利用其他列车或安排原列车折返发站时，退还全部票款。（二）旅客在中途站中止旅行时，如乘坐的是终到香港西九龙站的列车，铁路运输企业退还未乘区间票价；如乘坐的是香港西九龙站的始发列车，铁路运输企业退还已收票价与已乘区间票价的差额。但因违规加收的部分和已使用至到站的车票不退。（三）在到站，铁路运输企业利用其他列车将旅客运送至到站时，旅客票款不予退还。但重新安排的列车等级、席别高于旅客原票列车等级、席别时，票价差额不再补收；低于旅客原票列车等级、席别时，退还变更区间票价差额。（四）旅客在停运列车车票发站开车当日（含）前购买的联程车票，可一并办理退票，不收退票费。旅客分别办理联程车票退票的，按《广深港高速铁路跨境旅客运输组织规则》第十三条相关规定处理。,其他
在车站、列车上发生人身伤害时怎么办？,应立即通知车站客运人员或列车乘务人员。在列车上发生旅客人身伤害时，由列车长交车站处理；旅客不同意在指定的停车站下车处理时，须填写并签署免责同意书。旅客可于发生人身伤害次日起一年内向铁路运输企业提出赔偿请求。铁路运输企业接到赔偿请求后应尽快答复赔偿要求人。,其他
